"origin_fips","dest_fips","num_migrants","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,12269,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,8446,30.33,-81.66,33.52,-86.81,373.933086744326
48,1,7041,29.73,-95.39,33.52,-86.81,568.950674567609
47,1,5304,36.15,-86.77,33.52,-86.81,181.309208643781
28,1,4562,32.31,-90.2,33.52,-86.81,213.94414460924
6,1,2274,34.05,-118.24,33.52,-86.81,1801.9814796342
37,1,2158,35.21,-80.84,33.52,-86.81,360.496961818028
22,1,1671,29.98,-90.03,33.52,-86.81,308.869144115519
51,1,1624,36.81,-76.12,33.52,-86.81,645.795828847297
36,1,1518,40.67,-73.98,33.52,-86.81,861.901651372482
17,1,1443,41.88,-87.63,33.52,-86.81,578.302189337886
39,1,1430,39.96,-82.99,33.52,-86.81,491.947192651864
45,1,1220,32.79,-79.94,33.52,-86.81,401.323999596243
26,1,1125,42.36,-83.08,33.52,-86.81,642.645996503772
21,1,1213,38.21,-85.65,33.52,-86.81,329.832212598417
8,1,932,39.74,-104.99,33.52,-86.81,1095.02034006607
29,1,901,39.03,-94.56,33.52,-86.81,575.387785230866
18,1,895,39.77,-86.15,33.52,-86.81,432.518343658294
42,1,850,39.96,-75.15,33.52,-86.81,783.73162477462
53,1,742,47.6,-122.33,33.52,-86.81,2081.66835224925
24,1,647,39.31,-76.62,33.52,-86.81,693.44059268874
5,1,703,34.75,-92.29,33.52,-86.81,325.272652996714
40,1,615,35.52,-97.5,33.52,-86.81,624.93323943931
4,1,575,33.45,-112.07,33.52,-86.81,1455.11359932862
34,1,489,40.74,-74.18,33.52,-86.81,855.418521420992
20,1,549,37.69,-97.33,33.52,-86.81,657.838960830043
55,1,385,43.04,-87.91,33.52,-86.81,659.329452339009
15,1,440,21.3,-157.86,33.52,-86.81,4365.06982758836
25,1,315,42.33,-71.08,33.52,-86.81,1049.68157107724
32,1,299,36.17,-115.19,33.52,-86.81,1617.37871214535
35,1,310,35.1,-106.66,33.52,-86.81,1138.65347929325
27,1,252,44.98,-93.27,33.52,-86.81,862.44142119129
9,1,248,41.18,-73.19,33.52,-86.81,915.443487208724
54,1,235,38.35,-81.63,33.52,-86.81,441.709034098907
19,1,205,41.58,-93.61,33.52,-86.81,669.095511090467
2,1,223,61.22,-149.9,33.52,-86.81,3341.0525437443
49,1,201,40.77,-111.89,33.52,-86.81,1465.80969143619
41,1,179,45.52,-122.67,33.52,-86.81,2065.45765392866
31,1,149,41.26,-96.02,33.52,-86.81,735.16313044024
16,1,142,43.62,-116.2,33.52,-86.81,1725.46711497452
30,1,116,45.79,-108.52,33.52,-86.81,1426.39628341128
38,1,113,46.89,-96.81,33.52,-86.81,1061.38510272291
11,1,92,38.89,-77.03,33.52,-86.81,659.494332391888
56,1,100,41.13,-104.82,33.52,-86.81,1119.03586429123
23,1,86,43.68,-70.3,33.52,-86.81,1132.03573343263
46,1,129,43.54,-96.73,33.52,-86.81,874.153047706144
33,1,68,42.99,-71.45,33.52,-86.81,1057.51361841715
10,1,61,39.74,-75.55,33.52,-86.81,757.685049068828
44,1,70,41.82,-71.41,33.52,-86.81,1017.49675475591
50,1,33,44.47,-73.21,33.52,-86.81,1049.13136797216
6,2,2249,34.05,-118.24,61.22,-149.9,2342.514137532
53,2,2020,47.6,-122.33,61.22,-149.9,1438.39221517614
48,2,1911,29.73,-95.39,61.22,-149.9,3276.63136969686
12,2,1044,30.33,-81.66,61.22,-149.9,3693.65568313247
41,2,945,45.52,-122.67,61.22,-149.9,1542.94410866454
4,2,871,33.45,-112.07,61.22,-149.9,2547.71191963913
8,2,689,39.74,-104.99,61.22,-149.9,2399.75429017353
13,2,802,33.75,-84.39,61.22,-149.9,3408.73861586258
37,2,767,35.21,-80.84,61.22,-149.9,3445.60341721239
36,2,555,40.67,-73.98,61.22,-149.9,3373.46470939665
15,2,668,21.3,-157.86,61.22,-149.9,2781.70071443795
51,2,557,36.81,-76.12,61.22,-149.9,3513.96132361248
32,2,489,36.17,-115.19,61.22,-149.9,2296.81530961694
16,2,465,43.62,-116.2,61.22,-149.9,1837.59955913095
26,2,397,42.36,-83.08,61.22,-149.9,2983.34840302833
42,2,367,39.96,-75.15,61.22,-149.9,3373.52935509225
30,2,348,45.79,-108.52,61.22,-149.9,1963.13240791574
17,2,329,41.88,-87.63,61.22,-149.9,2857.02158619125
39,2,352,39.96,-82.99,61.22,-149.9,3113.86601091953
40,2,378,35.52,-97.5,61.22,-149.9,2876.41941443971
